VALVE NO,중복
21HAC30-AA908,
21HAC30-AAQ22,
21HAD20-AA730,
21HAD30-AAQ2,
21HAJ1O-AASO2,
21LAB63-Aan,
21LAB65-AA002,
21LABGI-AATOB,
21LAE-aan,
21LAE40-AA202,
21LBA10-AA301,
21LBA10-AA302,
21LBA10-AAT0B,중복
21LBA10-AAT0B,중복
21LBA10-AAT0B,중복
21LBA10-aa,
21LBA20-AAQ2,
21LBA20-AAS02,
21LBA30-AA501,중복
21LBA30-AA501,중복
21LBA30-AATO4,중복
21LBA30-AATO4,중복
21LBA30-aaa,중복
21LBA30-aaa,중복
21LBA3O-AATO4,
21LBB10-AA708,중복
21LBB10-AA708,중복
21LBB10-AATOS,중복
21LBB10-AATOS,중복
21LCA20-AATO6,
21LCAT0-AAOO2,
21LCB10-AAZOG,중복
21LCB10-AAZOG,중복
21LCB20-AA954,
21LCB20-Aare,
21LCB30-AA304,
21LCB30-AAODS,
21LCB30-AAOO1,
21LCB50-AAODS,
21LCQ10-AATO4,
21LCQ20-AAT06,
21LCa30-AATIO,
21PGB41-AAO19,
21PGB41-AAT14,
21PGB41-AATI2,
21PGB41-AATU,
21QUB30-AAOOD,
22-AATO4,
22-aa,중복
22-aa,중복
22a-AAQGO,
